periodo,anio,mes,banco,grupo,indicador,segmento,valor
2023-02-01,2023,2,banco_santander_chile,banca_tradicional,indice_provisiones,consumo,5.999093492692184
2023-02-01,2023,2,banco_santander_chile,banca_tradicional,indice_provisiones,personas_total,1.876733043805579
2023-02-01,2023,2,banco_santander_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.6016172538476576
2023-02-01,2023,2,banco_santander_chile,banca_tradicional,indice_provisiones,vivienda,0.7340500265380667
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,adeudado_bancos,0.11186202527916564
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,comerciales,1.9717019866875702
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,consumo,8.088006363977142
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,personas_total,2.0734936949795295
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,total_colocaciones,2.0157944520744095
2023-03-01,2023,3,banco_bci,banca_tradicional,indice_provisiones,vivienda,0.4252206718062803
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.21683180653789275
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,comerciales,1.8833907288255642
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,consumo,6.929621801214138
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,personas_total,2.3008153323105334
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.071637899059368
2023-03-01,2023,3,banco_de_chile,banca_tradicional,indice_provisiones,vivienda,0.2578897593268147
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,adeudado_bancos,
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,comerciales,3.7466840257967577
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,consumo,9.628811064042543
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,personas_total,5.965559507972341
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,total_colocaciones,5.860898215013465
2023-03-01,2023,3,banco_falabella,retail_financiero,indice_provisiones,vivienda,0.476688143694905
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,adeudado_bancos,
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,comerciales,13.630669204812099
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,consumo,8.999826666055148
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,personas_total,7.455963671649697
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,total_colocaciones,7.472454148168471
2023-03-01,2023,3,banco_ripley,retail_financiero,indice_provisiones,vivienda,0.4446573928923993
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.13646134138104782
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,comerciales,3.3920558497468334
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,consumo,5.865764712108409
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,personas_total,1.879567632515737
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.5854206644804005
2023-03-01,2023,3,banco_santander_chile,banca_tradicional,indice_provisiones,vivienda,0.7578457771242811
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,adeudado_bancos,0.11300204399992941
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,comerciales,1.9691078399162776
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,consumo,8.322571520940462
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,personas_total,2.106890796157248
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,total_colocaciones,2.0282870323242808
2023-04-01,2023,4,banco_bci,banca_tradicional,indice_provisiones,vivienda,0.4361217351533181
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.20959549425717638
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,comerciales,1.8513025864370969
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,consumo,6.895135658522801
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,personas_total,2.278862217501908
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.0448035279547923
2023-04-01,2023,4,banco_de_chile,banca_tradicional,indice_provisiones,vivienda,0.26339890225250634
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,adeudado_bancos,
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,comerciales,3.8995356351270996
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,consumo,9.805162604269642
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,personas_total,6.01553999793875
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,total_colocaciones,5.914457443058168
2023-04-01,2023,4,banco_falabella,retail_financiero,indice_provisiones,vivienda,0.4813254648195781
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,adeudado_bancos,
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,comerciales,13.34447823911793
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,consumo,9.016689295221152
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,personas_total,7.487452938867678
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,total_colocaciones,7.502542465035236
2023-04-01,2023,4,banco_ripley,retail_financiero,indice_provisiones,vivienda,0.5063955939332825
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.21874995813023976
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,comerciales,3.397228064931905
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,consumo,5.919948864464576
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,personas_total,1.900776497535991
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.5980550283753363
2023-04-01,2023,4,banco_santander_chile,banca_tradicional,indice_provisiones,vivienda,0.7700383266409118
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,adeudado_bancos,0.12450172391800912
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,comerciales,1.979347034749328
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,consumo,8.274644323386413
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,personas_total,2.0925119931663363
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,total_colocaciones,2.027835603511526
2023-05-01,2023,5,banco_bci,banca_tradicional,indice_provisiones,vivienda,0.4477578986505879
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.20920934753471662
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,comerciales,1.8763518626802835
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,consumo,6.889217467896248
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,personas_total,2.2905702406903767
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.066704302982854
2023-05-01,2023,5,banco_de_chile,banca_tradicional,indice_provisiones,vivienda,0.2623035310762538
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,adeudado_bancos,
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,comerciales,4.056990309736172
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,consumo,10.147233756684003
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,personas_total,6.142572194932
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,total_colocaciones,6.0405226102386775
